ID - Instantes,Python,JavaScript,Ruby on Rails,PHP,C#,C++,C,BUG,DEV
1,13,2,11,11,10,4,12,7,10
2,1,5,12,5,8,7,3,5,3
3,4,3,12,10,1,3,11,4,4
4,1,8,1,7,8,12,1,8,5
5,11,7,2,5,7,2,12,8,1
6,3,12,7,6,1,8,4,6,2
7,8,9,5,10,5,12,2,3,6
8,8,7,6,12,12,5,13,4,6
9,2,11,7,13,3,13,8,4,5
10,11,1,13,6,6,5,9,10,3
11,1,4,9,12,12,1,9,2,1
12,12,10,4,5,13,1,10,2,4
13,7,3,7,2,4,5,10,2,10
14,10,8,10,7,4,3,4,5,1
15,10,10,8,1,11,7,1,6,8
16,10,12,10,4,1,5,10,5,6
17,12,11,8,7,11,10,10,2,9
18,11,2,8,12,3,1,10,3,8
19,8,12,5,11,12,12,12,10,8
20,13,9,13,5,8,11,2,4,5
21,13,13,1,1,13,6,8,7,8
22,6,10,2,1,12,13,4,5,6
23,9,12,12,12,10,5,13,1,5
24,13,13,9,6,8,11,12,3,4
25,1,12,10,2,1,10,2,5,9
26,6,10,5,10,7,11,1,9,3
27,10,9,3,11,5,6,9,8,7
28,10,13,5,6,5,6,1,6,3
29,3,1,6,11,13,7,1,4,1
30,1,12,11,1,13,11,10,1,7
31,3,1,10,4,13,2,13,10,6
32,2,13,10,1,2,1,12,10,5
33,9,9,4,6,13,10,12,5,4
34,13,3,3,11,5,7,2,6,9
35,3,11,5,10,13,7,8,1,3
36,12,10,11,6,4,10,11,2,6
37,4,10,9,13,3,10,8,3,6
38,9,3,3,2,13,5,10,9,8
39,3,10,9,8,8,13,10,1,5
40,2,1,10,4,13,13,8,4,8
41,4,9,10,11,9,11,9,2,7
42,3,4,10,7,8,5,9,2,6
43,9,12,10,1,9,2,4,7,9
44,12,12,9,9,4,4,12,3,2
45,2,5,1,1,11,13,12,9,1
46,10,3,3,7,7,13,6,6,9
47,10,6,2,10,2,3,6,5,9
48,2,8,13,8,10,6,5,7,5
49,9,12,1,10,1,13,6,5,2
50,13,6,3,12,11,1,1,2,5
51,12,4,9,2,7,2,6,10,9
52,5,3,8,8,10,3,13,9,7
53,1,1,12,6,3,13,6,10,5
54,13,6,12,4,7,12,7,4,10
55,3,8,1,12,2,3,4,4,10
56,9,12,9,9,9,5,10,7,9
57,5,5,5,11,2,4,6,1,4
58,7,2,8,7,8,6,4,10,5
59,7,2,11,7,1,12,6,4,6
60,10,13,8,12,9,2,8,5,8
61,12,10,8,11,5,4,12,6,1
62,4,13,5,12,6,8,1,5,7
63,5,11,7,3,8,2,10,9,10
64,7,2,4,12,4,1,5,8,2
65,10,11,6,7,1,1,9,6,8
66,2,1,12,3,7,1,11,4,7
67,8,6,9,7,9,8,12,4,8
68,7,4,8,8,6,4,11,5,3
69,5,6,8,2,1,7,13,3,1
70,10,11,9,6,3,3,10,4,3
71,7,9,7,6,1,1,1,2,3
72,9,13,3,7,3,9,9,1,2
73,6,11,11,4,13,5,7,8,9
74,7,5,4,13,5,10,4,10,7
75,5,4,3,7,10,5,9,8,10
76,13,8,9,5,11,3,7,4,2
77,3,8,4,3,4,11,7,5,10
78,13,3,9,10,2,11,1,5,8
79,12,7,12,5,4,11,11,9,6
80,9,5,12,6,8,13,11,2,8
81,2,2,7,4,1,4,3,9,1
82,12,5,7,10,6,13,1,4,2
83,9,8,10,13,11,12,5,5,3
84,1,6,2,3,8,11,10,3,6
85,9,5,7,9,7,1,4,8,6
86,6,12,9,13,3,9,13,8,7
87,5,9,1,4,11,4,8,2,5
88,13,1,10,11,3,1,11,4,9
89,8,9,2,13,12,3,4,5,8
90,4,12,7,3,10,6,10,7,2
91,9,10,4,13,10,5,7,9,10
92,12,2,13,3,4,10,1,2,7
93,11,6,3,5,5,2,8,10,4
94,3,11,2,10,7,7,12,9,4
95,2,11,5,2,2,12,4,6,2
96,13,7,8,7,13,7,5,8,7
97,2,9,9,4,13,3,1,1,10
