ID - Instantes,Python,JavaScript,Ruby on Rails,PHP,C#,C++,C,BUG,DEV
1,2,1,9,7,12,10,9,4,3
2,4,7,8,12,13,2,3,10,2
3,12,7,13,3,2,12,12,7,1
4,9,4,1,7,11,3,5,4,5
5,10,1,13,3,13,10,8,9,5
6,12,11,13,7,2,4,1,5,1
7,6,12,12,5,12,11,7,8,1
8,3,1,9,9,9,3,3,5,9
9,8,5,1,11,8,3,8,7,1
10,2,12,8,13,8,12,6,1,5
11,8,12,13,11,10,9,9,4,2
12,3,10,6,1,6,8,11,2,1
13,12,7,9,12,8,3,7,2,4
14,11,3,13,9,7,3,13,6,4
15,5,3,8,3,9,12,8,2,4
16,9,4,7,7,6,2,5,7,6
17,2,2,11,13,11,10,13,7,7
18,3,1,13,12,13,9,10,1,1
19,9,4,4,10,10,9,9,7,5
20,9,11,5,9,8,13,1,8,1
21,13,13,13,2,8,4,1,8,3
22,10,10,5,7,10,7,7,3,2
23,10,8,1,7,6,5,1,7,5
24,6,7,8,9,6,12,1,4,6
25,2,6,6,2,6,9,6,2,2
26,13,10,1,11,5,7,9,7,7
27,11,13,13,11,11,13,9,5,7
28,5,7,7,7,2,10,4,3,4
29,4,10,5,12,12,4,5,1,3
30,3,11,1,11,4,8,4,7,8
31,6,10,8,12,5,7,1,7,5
32,5,4,10,6,7,7,12,7,9
33,11,7,6,2,11,6,13,2,4
34,4,6,5,3,5,13,2,9,4
35,6,12,1,2,5,1,10,1,3
36,1,9,4,11,4,11,6,10,1
37,6,9,9,6,13,12,2,5,8
38,1,11,12,4,5,3,5,6,7
39,11,10,1,8,7,9,9,4,8
40,13,10,13,13,10,12,10,8,5
41,7,11,13,9,12,5,2,9,5
42,8,4,11,12,9,6,10,10,7
43,10,7,13,4,7,3,11,5,5
44,6,12,13,7,5,3,8,1,4
45,5,9,4,9,12,3,5,4,6
46,13,9,9,1,9,9,13,7,4
47,9,5,9,6,9,11,7,4,5
48,1,2,2,1,2,1,12,10,6
49,8,10,6,12,1,12,12,4,4
50,3,7,8,2,7,3,3,4,2
51,4,1,12,2,8,2,2,5,2
52,12,5,11,1,4,13,9,3,2
