ID - Instantes,Python,JavaScript,Ruby on Rails,PHP,C#,C++,C,BUG,DEV
1,8,11,6,13,13,13,13,7,3
2,5,4,13,4,11,4,9,10,4
3,10,5,10,13,7,9,3,2,6
4,3,6,7,10,1,7,7,8,1
5,5,7,12,1,4,2,10,2,1
6,12,7,5,11,9,10,1,1,9
7,2,11,1,13,11,6,9,6,3
8,6,11,9,12,4,8,11,2,3
9,13,8,10,10,10,7,12,4,6
10,5,4,8,13,10,6,6,5,3
11,11,2,3,11,2,10,5,1,1
12,6,7,10,11,7,9,2,7,2
13,12,13,8,7,5,3,13,5,7
14,13,7,4,11,12,13,1,5,7
15,9,1,1,10,8,12,5,1,8
16,10,7,2,8,10,7,8,9,3
17,3,1,7,3,8,12,10,9,2
18,7,6,7,12,8,9,8,9,10
19,5,10,6,7,6,4,12,10,10
20,1,13,8,12,3,1,13,2,10
21,5,5,11,4,7,8,4,3,2
22,7,1,6,4,3,11,3,1,8
23,5,5,5,2,9,11,12,7,3
24,2,13,6,6,7,11,12,1,7
25,1,6,6,10,13,6,12,8,1
26,9,6,3,4,11,11,8,2,3
27,11,9,10,5,10,8,8,7,9
28,12,1,2,11,8,9,2,9,10
29,4,1,1,8,6,12,9,8,5
30,1,13,3,3,3,9,13,3,8
31,2,8,2,13,11,12,6,8,5
32,3,1,5,7,5,8,4,3,2
33,13,4,13,7,6,5,4,8,5
34,2,11,13,4,5,11,2,1,2
35,6,1,6,10,12,9,9,3,3
36,7,7,12,6,2,12,12,5,4
37,6,1,11,3,8,13,12,8,3
38,2,7,4,10,4,10,2,5,4
39,7,12,7,11,11,6,13,9,2
40,6,12,5,3,5,7,8,3,2
41,6,1,9,11,3,2,7,2,4
42,3,1,8,2,12,4,5,4,3
43,12,2,3,5,8,4,6,4,8
44,10,11,11,4,1,3,12,8,1
45,2,3,6,2,6,1,4,1,9
46,1,8,6,9,3,5,5,8,9
47,13,3,11,2,4,7,7,6,10
48,12,13,8,10,5,3,2,8,10
49,1,11,1,11,9,1,3,10,9
50,1,11,2,12,13,7,13,4,6
51,5,10,12,1,11,9,10,2,7
52,4,1,5,2,13,5,7,2,9
53,10,2,11,10,5,13,8,9,9
54,9,1,7,7,5,2,11,3,9
55,8,10,13,1,7,5,6,7,3
56,1,5,9,2,5,10,12,9,1
57,7,5,1,10,13,8,10,9,6
58,10,10,9,8,8,7,2,7,4
59,12,10,13,8,11,8,10,2,7
60,10,4,2,10,13,11,8,8,10
61,7,2,11,1,1,5,6,6,6
62,5,12,6,12,4,12,12,6,2
63,1,8,3,11,1,9,12,3,3
64,8,9,7,8,2,11,7,9,7
65,6,7,13,5,3,13,8,5,9
66,1,3,2,8,2,8,4,1,6
67,4,12,12,1,9,13,2,6,2
68,10,7,6,2,7,9,7,3,3
69,6,9,12,13,5,3,1,8,7
70,5,7,12,4,10,8,1,3,6
71,10,12,8,11,4,10,8,9,4
72,8,10,1,6,6,6,11,9,10
73,7,3,6,5,5,6,5,1,3
74,5,11,1,10,13,3,4,8,9
75,3,13,5,10,9,6,10,6,7
76,11,11,13,13,6,4,1,1,3
77,11,9,7,10,2,12,9,7,3
78,13,11,5,10,9,10,11,6,7
79,7,8,13,5,2,11,4,7,6
80,13,8,2,11,2,11,1,1,9
81,4,10,2,2,6,3,5,9,1
82,1,12,8,7,7,10,11,6,2
83,6,3,3,12,6,6,9,5,8
84,9,12,11,5,9,11,5,6,3
85,4,4,11,5,9,13,1,2,1
86,9,13,9,8,5,12,4,5,3
87,4,8,4,2,10,4,9,8,2
88,1,1,8,5,6,4,4,1,2
89,9,6,4,5,12,9,10,6,6
90,4,6,6,4,2,10,12,4,10
91,8,12,6,3,9,13,8,6,4
92,12,6,6,3,11,7,2,9,6
93,6,11,4,11,6,12,3,7,9
94,6,13,11,9,13,11,3,10,7
95,11,10,9,3,2,5,11,3,9
96,13,3,12,3,9,5,5,10,7
97,9,9,3,11,1,8,13,7,2
98,5,7,11,11,7,9,13,1,7
99,1,7,13,7,7,7,11,2,5
100,13,3,12,6,6,6,6,3,2
